0,1,2,3,4,5,6,7
乔尔-安东尼,30,3.8,0.5,1.8,0.0,0.0,0.0
2013NBA总决赛马刺 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
蒂姆-邓肯,36,36.3,18.9,12.1,1.4,0.9,1.4
托尼-帕克,30,35.1,15.7,1.9,6.4,1.0,0.1
科怀-伦纳德,21,36.4,14.6,11.1,0.9,2.0,0.4
丹尼-格林,25,35.4,14.0,4.1,0.7,1.0,1.6
马努-吉诺比利,35,28.4,11.6,2.1,4.3,0.7,0.0
加里-尼尔,28,24.4,9.4,2.4,0.9,0.0,0.0
蒂亚戈-斯普利特,28,15.3,4.9,2.0,0.4,0.7,0.4
伯瑞斯-迪奥,30,15.7,4.0,2.5,1.7,0.0,0.2
德胡安-布莱尔,23,5.7,3.7,2.7,0.3,0.7,0.0
马特-邦纳,32,6.0,1.8,1.2,0.2,0.2,0.0
科里-约瑟夫,21,7.2,1.8,1.0,1.0,0.3,0.0
帕蒂-米尔斯,24,6.5,2.0,0.5,0.0,0.0,0.0
南多-德科洛,25,2.5,0.0,0.5,0.5,0.0,0.0
特雷西-麦克格雷迪,33,7.0,0.0,2.0,2.5,0.0,0.5
2012NBA总决赛热火 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,27,44.0,28.6,10.2,7.4,1.6,0.4
德维恩-韦德,30,40.6,22.6,6.0,5.2,1.4,1.2
克里斯-波什,27,36.6,14.6,9.4,0.2,0.6,1.2
肖恩-巴蒂尔,33,37.4,11.6,3.4,0.4,0.8,0.0
马里奥-查默斯,25,36.6,10.4,2.6,4.0,1.8,0.4
迈克-米勒,31,8.8,6.2,1.8,0.4,0.2,0.2
诺里斯-科尔,23,11.0,3.3,1.0,0.0,0.0,0.0
犹多尼斯-哈斯勒姆,31,16.2,2.6,4.4,0.4,0.0,0.4
詹姆斯-琼斯,31,10.8,2.8,1.5,0.0,0.3,0.0
特雷尔-哈里斯,24,3.0,3.0,1.0,0.0,0.0,0.0
乔尔-安东尼,29,2.0,0.0,0.0,0.0,0.0,0.0
朱万-霍华德,38,3.0,0.0,0.0,0.0,0.0,0.0
罗尼-图里亚夫,29,3.0,0.0,1.0,0.0,0.0,0.0
2012NBA总决赛雷霆 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
凯文-杜兰特,23,42.6,30.6,6.0,2.2,1.4,1.0
拉塞尔-威斯布鲁克,23,42.2,27.0,6.4,6.6,1.0,0.4
詹姆斯-哈登,22,32.8,12.4,4.8,3.6,1.2,0.0
赛尔吉-伊巴卡,22,26.4,7.0,5.2,0.8,0.4,2.0
德里克-费舍尔,37,25.6,5.6,1.6,0.8,1.0,0.0
肯德里克-帕金斯,27,23.2,4.8,6.8,0.0,0.2,0.6
萨博-塞福洛沙,27,26.0,4.6,2.0,1.0,1.4,0.8
尼克-科里森,31,16.6,3.6,4.6,0.6,0.6,0.2
罗耶尔-埃维,30,3.0,6.0,0.0,0.0,0.0,0.0
科尔-阿尔德里奇,23,5.0,2.0,1.0,0.0,0.0,0.0
戴奎恩-库克,24,3.7,0.7,0.0,0.3,0.0,0.0
拉扎尔-海沃德,25,5.0,2.0,2.0,0.0,0.0,0.0
2011NBA总决赛独行侠 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德克-诺维茨基,32,40.3,26.0,9.7,2.0,0.7,0.7
杰森-特里,33,32.5,18.0,2.0,3.2,1.3,0.0
肖恩-马里昂,32,35.8,13.7,6.3,2.3,0.8,0.7
泰森-钱德勒,28,37.3,9.7,8.8,0.7,1.2,1.2
JJ-巴里亚,26,21.3,8.8,2.2,3.2,0.5,0.0
杰森-基德,37,37.5,7.7,4.5,6.3,1.2,0.8
德肖恩-史蒂文森,29,17.2,7.0,1.5,0.3,0.7,0.2
伊安-马辛米,24,9.0,3.0,1.7,0.0,0.3,0.0
布莱恩-卡迪纳尔,33,6.0,1.4,0.2,0.2,0.2,0.0
布兰登-海伍德,31,8.3,1.7,2.3,0.0,0.3,1.0
佩贾-斯托亚科维奇,33,6.5,0.5,0.8,0.0,0.5,0.0
2011NBA总决赛热火 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德维恩-韦德,29,39.0,26.5,7.0,5.2,1.5,1.5
克里斯-波什,26,39.5,18.5,7.3,1.0,0.2,0.5
勒布朗-詹姆斯,26,43.7,17.8,7.2,6.8,1.7,0.5
马里奥-查默斯,24,29.0,11.8,2.7,3.5,1.7,0.0
犹多尼斯-哈斯勒姆,30,29.3,6.7,5.2,0.7,0.5,0.5
迈克-米勒,30,15.7,3.5,2.8,0.8,0.8,0.2
迈克-毕比,32,17.4,3.8,1.4,1.0,1.4,0.2
埃迪-豪斯,32,12.5,4.5,2.0,0.5,1.0,0.0
朱万-霍华德,37,5.8,1.8,1.2,0.2,0.0,0.0
乔尔-安东尼,28,20.5,1.3,3.5,0.3,0.2,1.2
2010NBA总决赛湖人 (4-3)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
科比-布莱恩特,31,41.1,28.6,8.0,3.9,2.1,0.7
保罗-加索尔,29,41.9,18.6,11.6,3.7,0.7,2.6
梅塔-沃尔德皮斯,30,35.9,10.6,4.6,1.3,1.4,0.6
德里克-费舍尔,35,30.6,8.6,3.0,2.0,0.9,0.0
拉马尔-奥多姆,30,27.4,7.6,6.6,1.3,0.6,0.6
安德鲁-拜纳姆,22,25.0,7.4,5.1,0.0,0.1,1.3
香农-布朗,24,12.0,3.0,0.9,0.4,0.0,0.1
乔丹-法马尔,23,12.6,3.0,1.1,0.9,1.1,0.0
萨沙-武贾西奇,25,7.4,3.0,1.0,0.7,0.3,0.0
卢克-沃顿,29,7.8,0.5,0.5,0.8,0.0,0.5
D.J. Mbenga,29,3.0,0.0,1.0,0.0,0.0,0.0
约什-鲍威尔,27,4.0,0.0,0.5,0.0,0.0,0.0
2010NBA总决赛凯尔特人 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
保罗-皮尔斯,32,39.7,18.0,5.3,3.0,0.7,0.9
凯文-加内特,33,31.7,15.3,5.6,3.0,1.4,1.3
雷-阿伦,34,39.4,14.6,2.7,1.7,0.7,0.0
拉简-隆多,23,38.9,13.6,6.3,7.6,1.6,0.3
格伦-戴维斯,24,20.6,6.7,5.6,0.4,0.9,0.4
拉希德-华莱士,35,20.6,5.3,4.6,0.9,0.4,0.7
肯德里克-帕金斯,25,23.5,5.8,5.8,1.0,0.2,0.0
内特-罗宾逊,25,10.1,4.9,1.1,1.9,0.1,0.0
托尼-阿伦,28,14.7,3.1,1.0,0.4,1.0,0.7
马奎斯-丹尼尔斯,29,2.0,2.5,0.5,0.0,0.0,0.0
迈克尔-芬利,36,2.5,0.0,0.0,0.0,0.0,0.0
布莱恩-斯卡拉布莱恩,31,1.0,0.0,0.0,0.0,0.0,0.0
谢尔登-威廉姆斯,26,9.0,0.0,2.0,0.0,0.0,0.0
2009NBA总决赛湖人 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
科比-布莱恩特,30,43.8,32.4,5.6,7.4,1.4,1.4
保罗-加索尔,28,42.4,18.6,9.2,2.2,0.8,1.8
拉马尔-奥多姆,29,33.8,13.4,7.8,0.8,1.0,1.0
特雷沃-阿里扎,23,37.6,11.0,6.0,1.6,1.8,0.2
德里克-费舍尔,34,35.8,11.0,3.0,1.8,1.2,0.0
安德鲁-拜纳姆,21,19.0,6.0,4.2,0.6,0.4,0.6
卢克-沃顿,28,15.2,3.8,2.0,1.0,0.2,0.0
乔丹-法马尔,22,11.4,3.4,1.2,0.4,0.4,0.0
约什-鲍威尔,26,5.5,2.5,2.0,0.5,0.0,0.0
香农-布朗,23,5.3,0.0,0.3,0.0,0.0,0.0
D.J. Mbenga,28,2.0,0.0,0.3,0.0,0.0,0.3
萨沙-武贾西奇,24,4.4,0.0,0.4,0.4,0.0,0.0
2009NBA总决赛魔术 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
希度-特科格鲁,29,41.2,18.0,4.6,3.8,0.8,0.4
拉沙德-刘易斯,29,42.4,17.4,7.6,4.0,0.8,0.0
德怀特-霍华德,23,42.6,15.4,15.2,2.2,1.6,4.0
拉夫-阿尔斯通,32,29.4,10.6,2.2,3.0,0.8,0.0
迈克尔-皮特鲁斯,26,28.0,10.6,2.0,0.4,0.6,0.2
考特尼-李,23,17.6,5.8,1.4,0.2,0.6,0.0
JJ-雷迪克,24,16.3,5.5,0.5,2.0,0.3,0.0
贾米尔-尼尔森,26,18.0,3.8,1.4,2.8,0.2,0.0
马尔钦-戈塔特,24,10.6,3.2,2.6,0.0,0.4,1.0
托尼-巴蒂,32,7.0,2.0,0.8,0.4,0.0,0.4
2008NBA总决赛凯尔特人 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
保罗-皮尔斯,30,38.8,21.8,4.5,6.3,1.2,0.3
雷-阿伦,32,41.0,20.3,5.0,2.5,1.3,0.7
凯文-加内特,31,38.0,18.2,13.0,3.0,1.7,1.0
拉简-隆多,21,27.0,9.3,3.8,6.7,1.5,0.5
詹姆斯-波西,31,25.2,8.7,3.8,0.5,1.3,0.2
里昂-鲍威,24,8.8,6.2,3.2,0.0,0.0,0.0
埃迪-豪斯,29,18.5,8.0,2.5,2.5,0.3,0.0
PJ-布朗,38,19.5,4.0,3.2,0.7,0.5,0.5
肯德里克-帕金斯,23,18.4,4.0,3.6,0.4,0.6,1.0
萨姆-卡塞尔,38,10.2,3.8,0.2,1.2,0.4,0.0
托尼-阿伦,26,6.3,2.7,0.3,0.7,0.3,0.0
格伦-戴维斯,22,15.0,3.0,4.0,0.0,0.0,0.0
2008NBA总决赛湖人 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
科比-布莱恩特,29,43.0,25.7,4.7,5.0,2.7,0.2
保罗-加索尔,27,39.0,14.7,10.2,3.3,0.5,0.5
拉马尔-奥多姆,28,36.7,13.5,9.0,3.0,0.3,1.0
德里克-费舍尔,33,31.2,10.8,1.5,3.2,1.5,0.0
萨沙-武贾西奇,23,22.0,8.3,2.0,0.8,0.5,0.2
弗拉迪米尔-拉德马诺维奇,27,21.3,7.3,4.8,1.3,0.7,0.0
乔丹-法马尔,21,19.2,7.0,1.8,1.3,0.3,0.5
卢克-沃顿,27,11.0,2.5,1.0,1.2,0.2,0.2
特雷沃-阿里扎,22,7.0,2.6,1.8,0.2,0.2,0.2
罗尼-图里亚夫,25,10.3,1.8,0.7,0.0,0.0,0.5
克里斯-米姆,28,3.0,0.0,0.0,0.0,0.0,0.0
2007NBA总决赛马刺 (4-0)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
托尼-帕克,24,37.8,24.5,5.0,3.3,0.8,0.0
蒂姆-邓肯,30,37.3,18.3,11.5,3.8,1.3,2.3
马努-吉诺比利,29,29.3,17.8,5.8,2.5,1.3,0.0
布鲁斯-鲍文,35,41.8,6.0,5.5,1.3,0.5,0.3
法布里希奥-奥博托,31,20.8,4.3,4.3,0.5,0.3,0.0
弗朗西斯科-埃尔森,30,11.5,4.0,2.5,0.0,0.3,0.0
迈克尔-芬利,33,18.5,3.8,2.0,0.8,1.3,0.0
布伦特-巴里,35,10.5,3.0,1.5,0.5,0.3,0.0
罗伯特-霍里,36,22.0,3.0,4.5,3.3,0.3,1.3
雅克-沃恩,31,10.3,2.0,1.3,1.0,0.0,0.0
本诺-尤德里,24,0.5,0.0,0.0,0.0,0.0,0.0
2007NBA总决赛骑士 (0-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,22,42.5,22.0,7.0,6.8,1.0,0.5
德鲁-古登,25,27.5,12.8,8.3,0.3,0.3,0.5
丹尼尔-吉布森,20,34.8,10.8,1.8,2.5,1.5,0.0
萨沙-帕夫洛维奇,23,31.8,9.8,2.5,0.8,0.5,0.0
扎诸纳斯-伊尔戈斯卡斯,31,25.8,7.8,10.3,0.5,0.5,1.0
安德森-瓦莱乔,24,24.5,7.5,5.3,0.8,1.3,0.5
达蒙-琼斯,30,16.3,4.5,1.3,1.0,0.0,0.0
唐耶尔-马绍尔,33,15.3,3.8,2.3,1.3,0.8,0.0
埃里克-斯诺,33,10.3,1.3,1.0,2.3,0.3,0.3
拉里-休斯,28,22.0,1.0,2.5,1.0,0.5,0.0
香农-布朗,21,0.0,0.0,0.0,0.0,0.0,0.0
伊拉-纽贝尔,32,1.0,0.0,1.0,0.0,0.0,0.0
斯科特-波拉德,31,1.0,0.0,0.0,0.0,0.0,0.0
2006NBA总决赛热火 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德维恩-韦德,24,43.5,34.7,7.8,3.8,2.7,1.0
安托万-沃克,29,36.5,13.8,5.5,2.2,0.7,0.5
沙奎尔-奥尼尔,33,35.2,13.7,10.2,2.8,0.5,0.8
杰森-威廉姆斯,30,31.3,8.8,1.8,4.7,0.5,0.0
詹姆斯-波西,29,29.5,7.3,6.0,0.3,1.0,0.0
犹多尼斯-哈斯勒姆,25,29.2,6.5,6.2,0.3,1.2,0.0
阿隆佐-莫宁,35,11.0,4.3,3.2,0.0,0.3,1.5
加里-佩顿,37,22.3,2.7,2.0,2.0,1.0,0.0
山顿-安德森,32,7.8,1.5,1.8,0.8,0.0,0.0
迈克尔-多里亚克,28,1.0,0.0,0.0,0.0,0.0,0.0
杰森-卡波诺,24,2.0,0.0,0.0,0.0,0.0,0.0
2006NBA总决赛独行侠 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德克-诺维茨基,27,43.7,22.8,10.8,2.5,0.7,0.7
杰森-特里,28,40.0,22.0,2.2,3.5,1.8,0.0
约什-霍华德,25,38.5,14.7,8.2,1.8,1.2,0.7
杰里-斯塔克豪斯,31,30.0,12.8,3.4,3.0,0.8,0.6
德文-哈里斯,22,24.5,7.3,0.8,2.8,0.8,0.0
埃里克-丹皮尔,30,24.7,5.7,8.2,0.3,1.0,0.7
阿德里安-格里芬,31,13.7,3.0,3.2,0.8,0.8,0.0
马奎斯-丹尼尔斯,25,8.8,2.8,0.5,1.3,0.0,0.0
德萨盖纳-迪奥普,24,15.7,1.7,3.3,0.2,0.3,0.8
基思-范霍恩,30,7.8,1.4,1.2,0.0,0.0,0.0
达雷尔-阿姆斯特朗,37,6.0,0.0,1.0,0.0,0.0,0.0
D.J. Mbenga,25,4.5,0.0,1.5,0.0,0.0,0.0
约什-鲍威尔,23,4.0,0.0,1.0,0.0,0.0,0.0
2005NBA总决赛马刺 (4-3)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
蒂姆-邓肯,28,40.7,20.6,14.1,2.1,0.4,2.1
马努-吉诺比利,27,36.0,18.7,5.9,4.0,1.3,0.1
托尼-帕克,22,37.9,13.9,2.4,3.4,0.3,0.1
罗伯特-霍里,34,29.1,10.6,4.9,2.1,1.0,0.7
布鲁斯-鲍文,33,38.7,7.9,2.7,2.0,0.6,0.7
纳兹尔-穆罕默德,27,22.6,4.9,6.0,0.0,0.3,0.9
布伦特-巴里,33,20.3,4.6,2.1,1.6,0.6,0.3
本诺-尤德里,22,9.2,2.4,1.0,0.8,0.2,0.0
德文-布朗,26,5.8,1.8,1.0,0.5,0.0,0.0
拉苏-内斯特洛维奇,28,6.3,0.5,2.0,0.3,0.0,0.3
格伦-罗宾逊,32,4.7,0.7,1.0,0.0,0.0,1.0
托尼-马森博格,37,3.0,0.0,1.0,0.0,0.0,0.0
2005NBA总决赛活塞 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
昌西-比卢普斯,28,40.3,20.4,5.0,6.3,1.0,0.1
理查德-汉密尔顿,26,42.1,16.7,5.3,2.6,0.6,0.1
拉希德-华莱士,30,32.4,10.9,5.6,1.9,2.0,2.4
本-华莱士,30,40.0,10.7,10.3,1.0,1.7,3.0
安东尼奥-麦克戴斯,30,22.3,10.1,7.3,1.0,0.9,1.1
泰肖恩-普林斯,24,39.0,10.1,4.9,2.6,1.4,0.6
林奇-亨特,34,19.6,5.6,1.9,2.7,1.3,0.1
卡洛斯-阿罗约,25,6.2,2.2,0.2,0.6,0.2,0.0
达尔文-哈姆,31,1.6,0.4,0.6,0.0,0.0,0.0
达科-米利西奇,19,2.3,0.7,0.7,0.0,0.0,0.0
埃尔登-坎贝尔,36,1.0,0.0,0.0,1.0,0.0,0.0
罗纳德-杜普里,24,1.8,0.0,0.0,0.0,0.0,0.0
2004NBA总决赛活塞 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
理查德-汉密尔顿,25,44.8,21.4,5.2,4.0,0.8,0.0
昌西-比卢普斯,27,38.8,21.0,3.2,5.2,1.2,0.0
拉希德-华莱士,29,30.6,13.0,7.8,1.4,0.4,1.6
本-华莱士,29,41.0,10.8,13.6,1.4,1.8,1.0
泰肖恩-普林斯,23,39.6,10.0,6.8,2.0,1.8,0.4
科利斯-威廉森,30,10.6,4.2,2.4,0.2,0.0,0.0
林奇-亨特,33,12.8,3.6,1.4,0.8,0.6,0.4
埃尔登-坎贝尔,35,13.6,3.4,2.6,1.6,1.0,0.6
梅米特-奥库,24,9.5,2.8,1.5,0.5,0.0,0.0
麦克-詹姆斯,28,3.4,0.8,0.8,0.8,0.0,0.0
达尔文-哈姆,30,1.8,0.5,0.3,0.0,0.0,0.0
达科-米利西奇,18,1.3,0.0,0.7,0.0,0.3,0.0
2004NBA总决赛湖人 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
沙奎尔-奥尼尔,31,42.6,26.6,10.8,1.6,0.4,0.6
科比-布莱恩特,25,46.2,22.6,2.8,4.4,1.8,0.6
德里克-费舍尔,29,20.2,6.4,3.0,1.8,1.0,0.0
德文-乔治,26,21.2,5.8,2.8,0.6,1.0,0.4
加里-佩顿,35,33.4,4.2,3.0,4.4,1.2,0.4
卡尔-马龙,40,31.3,5.0,7.3,2.3,0.3,0.3
斯坦尼斯拉夫-梅德维登科,24,14.2,3.6,3.6,0.6,0.0,0.2
卡里姆-拉什,23,15.2,3.6,1.0,0.4,0.2,0.0
卢克-沃顿,23,19.8,3.3,3.0,4.5,1.5,0.5
里克-福克斯,34,9.7,2.7,1.0,2.3,0.0,0.0
布莱恩-库克,23,7.0,1.3,2.7,0.0,0.3,0.0
布莱恩-拉塞尔,33,2.3,0.0,0.3,0.0,0.0,0.0
2003NBA总决赛马刺 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
蒂姆-邓肯,26,44.0,24.2,17.0,5.3,1.0,5.3
托尼-帕克,20,35.3,14.0,3.2,4.2,0.3,0.2
大卫-罗宾逊,37,26.7,10.8,7.3,0.7,1.2,1.8
斯蒂芬-杰克逊,24,35.5,10.3,4.2,2.7,1.2,0.3
马努-吉诺比利,25,28.5,8.7,4.5,2.0,2.2,0.5
马利克-罗斯,28,21.2,7.7,3.8,0.7,0.5,0.5
斯彼迪-克莱斯克顿,24,12.7,6.2,1.0,1.5,0.7,0.7
布鲁斯-鲍文,31,28.7,3.3,3.2,0.8,0.7,0.3
史蒂夫-科尔,37,4.8,2.0,0.3,0.5,0.3,0.0
凯文-威利斯,40,4.6,1.6,1.8,0.0,0.0,0.2
丹尼-费里,36,0.7,0.0,0.0,0.0,0.0,0.0
史蒂夫-史密斯,33,1.0,0.0,0.0,0.0,0.0,0.0
2003NBA总决赛新泽西篮网 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
杰森-基德,29,44.2,19.7,6.2,7.8,1.2,0.2
肯扬-马丁,25,37.3,14.7,10.0,2.2,1.7,2.3
理查德-杰弗森,22,38.3,13.2,6.5,1.8,1.3,0.3
科瑞-基德尔斯,28,31.3,10.8,4.2,1.3,1.8,0.5
鲁西奥斯-哈里斯,32,20.7,6.5,2.7,1.2,0.3,0.0
罗德尼-罗杰斯,31,12.3,4.7,1.7,0.5,0.0,0.0
阿龙-威廉姆斯,31,14.4,5.6,4.2,0.8,0.2,1.4
杰森-科林斯,24,25.3,3.7,4.7,1.0,0.7,0.5
迪肯贝-穆托姆博,36,13.7,2.3,2.8,0.0,0.5,1.3
安东尼-约翰逊,28,5.6,2.2,0.2,0.2,0.2,0.0
布莱恩-斯卡拉布莱恩,24,1.0,0.0,1.0,0.0,0.0,0.0
特马尔-斯利,22,1.0,0.0,0.0,0.0,0.0,0.0
2002NBA总决赛湖人 (4-0)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
沙奎尔-奥尼尔,29,41.5,36.3,12.3,3.8,0.5,2.8
科比-布莱恩特,23,43.5,26.8,5.8,5.3,1.5,0.8
德里克-费舍尔,27,33.0,12.8,3.5,3.8,0.3,0.0
里克-福克斯,32,36.5,9.8,6.3,3.5,1.5,0.5
罗伯特-霍里,31,39.5,8.0,7.3,4.3,2.8,1.8
德文-乔治,24,18.0,6.5,4.8,0.0,0.3,0.5
布莱恩-肖,35,16.3,3.5,1.8,2.5,0.3,0.5
萨马基-沃克,25,6.0,1.0,2.0,0.0,0.0,0.3
林奇-亨特,31,4.0,0.7,0.3,0.0,0.0,0.0
斯坦尼斯拉夫-梅德维登科,22,4.5,1.0,0.5,0.0,0.0,0.0
米奇-里奇蒙德,36,1.0,2.0,0.0,0.0,0.0,0.0
马克-麦德森,26,2.0,0.0,0.0,0.0,0.0,0.0
2002NBA总决赛新泽西篮网 (0-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
肯扬-马丁,24,39.5,22.0,6.5,2.5,1.5,1.0
杰森-基德,28,41.8,20.8,7.3,9.8,2.3,0.8
科瑞-基德尔斯,27,26.5,12.5,2.0,2.5,1.5,0.5
基思-范霍恩,26,30.5,10.5,5.8,2.3,0.5,0.3
鲁西奥斯-哈里斯,31,22.8,7.8,2.8,2.0,1.0,0.0
托德-马克洛奇,26,18.3,7.5,5.0,0.5,0.8,1.0
理查德-杰弗森,21,24.3,6.8,4.5,1.3,1.0,0.0
